ID,DATE,YEAR,MONTH,DAY,LATITUDE,LONGITUDE,ELEVATION,PRCP
US1COJF00012013-01-02 00:00:00,2013-01-02,2013,1,2,39.5884,-105.075,1692.9,0.0
US1COJF00012013-01-03 00:00:00,2013-01-03,2013,1,3,39.5884,-105.075,1692.9,0.0
US1COJF00012013-01-04 00:00:00,2013-01-04,2013,1,4,39.5884,-105.075,1692.9,0.0
US1COJF00012013-01-05 00:00:00,2013-01-05,2013,1,5,39.5884,-105.075,1692.9,0.0
US1COJF00012013-01-06 00:00:00,2013-01-06,2013,1,6,39.5884,-105.075,1692.9,0.0
US1COJF00012013-01-07 00:00:00,2013-01-07,2013,1,7,39.5884,-105.075,1692.9,0.0
US1COJF00012013-01-08 00:00:00,2013-01-08,2013,1,8,39.5884,-105.075,1692.9,0.0
US1COJF00012013-01-09 00:00:00,2013-01-09,2013,1,9,39.5884,-105.075,1692.9,0.0
US1COJF00012013-01-10 00:00:00,2013-01-10,2013,1,10,39.5884,-105.075,1692.9,0.0
US1COJF00012013-01-11 00:00:00,2013-01-11,2013,1,11,39.5884,-105.075,1692.9,0.0
US1COJF00012013-01-12 00:00:00,2013-01-12,2013,1,12,39.5884,-105.075,1692.9,0.2
US1COJF00012013-01-13 00:00:00,2013-01-13,2013,1,13,39.5884,-105.075,1692.9,0.0
US1COJF00012013-01-15 00:00:00,2013-01-15,2013,1,15,39.5884,-105.075,1692.9,0.0
US1COJF00012013-01-16 00:00:00,2013-01-16,2013,1,16,39.5884,-105.075,1692.9,0.0
US1COJF00012013-01-17 00:00:00,2013-01-17,2013,1,17,39.5884,-105.075,1692.9,0.0
US1COJF00012013-01-18 00:00:00,2013-01-18,2013,1,18,39.5884,-105.075,1692.9,0.0
US1COJF00012013-01-19 00:00:00,2013-01-19,2013,1,19,39.5884,-105.075,1692.9,0.0
US1COJF00012013-01-20 00:00:00,2013-01-20,2013,1,20,39.5884,-105.075,1692.9,0.0
US1COJF00012013-01-21 00:00:00,2013-01-21,2013,1,21,39.5884,-105.075,1692.9,0.0
US1COJF00012013-01-22 00:00:00,2013-01-22,2013,1,22,39.5884,-105.075,1692.9,0.0
US1COJF00012013-01-23 00:00:00,2013-01-23,2013,1,23,39.5884,-105.075,1692.9,0.0
US1COJF00012013-01-24 00:00:00,2013-01-24,2013,1,24,39.5884,-105.075,1692.9,0.0
US1COJF00012013-01-25 00:00:00,2013-01-25,2013,1,25,39.5884,-105.075,1692.9,0.0
US1COJF00012013-01-26 00:00:00,2013-01-26,2013,1,26,39.5884,-105.075,1692.9,0.0
US1COJF00012013-01-29 00:00:00,2013-01-29,2013,1,29,39.5884,-105.075,1692.9,4.8
US1COJF00012013-01-30 00:00:00,2013-01-30,2013,1,30,39.5884,-105.075,1692.9,0.0
US1COJF00012013-01-31 00:00:00,2013-01-31,2013,1,31,39.5884,-105.075,1692.9,0.0
US1COJF00012013-02-01 00:00:00,2013-02-01,2013,2,1,39.5884,-105.075,1692.9,0.0
